Compound Name,delta_H Exp,delta_H Calc,col
6-bromopyridin-3-ol,13.05,13.72,1
6-bromopyridin-3-amine,12.67,12.13,2
6-bromo-N-methylpyridin-3-amine,12.17,11.6,3
6-chloropyridin-3-ol,14.81,15.36,4
6-chloropyridin-3-amine,12.71,12.44,5
6-chloro-N-methylpyridin-3-amine,12.28,11.6,6
4-chlorophenol,11.24,10.46,7
4-chloroaniline,11.2,10.51,8
N-methyl-(4-chlorophenyl)amine,11.4,12.08,9
4-bromo-N-methylaniline,11.22,11.5,10
4-bromoaniline,11.74,12.38,11
4-bromophenol,14.04,14.1,12
2-fluoropyridine,8.22,8.67,13
2-chloropyridine,10.18,9.93,14
2-bromopyridine,9.95,9.53,15
4-fluorophenol,10.43,10.77,16
4-fluoroaniline,10.16,9.43,17
4-fluoro-N-methylaniline,9.98,10.06,18
NMA,14.2,14.11,19
